epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1905.1,1.04856,1.56833,1.01117,0.7752,0.78439,0.86626,0.60627,1.04228,1.78786,0.95377,0.000540037,0.000540037,0.000540037
43,1950.08,1.12528,1.52177,1.03151,0.7171,0.80924,0.83689,0.57293,1.08421,1.47412,0.96195,0.000531038,0.000531038,0.000531038
44,1994.27,1.0864,1.70045,1.04808,0.6937,0.86237,0.87383,0.5239,1.37497,1.55222,1.04877,0.000522039,0.000522039,0.000522039
45,2037.06,1.21042,1.60321,1.0767,0.82504,0.81933,0.90617,0.58996,1.20293,1.42248,1.00263,0.00051304,0.00051304,0.00051304
46,2079.64,1.13603,1.63736,1.04668,0.76709,0.82585,0.88536,0.64084,0.98091,1.43044,0.94477,0.00050404,0.00050404,0.00050404
47,2121.53,1.10924,1.50296,1.03648,0.75494,0.80824,0.88684,0.6382,0.99764,1.3239,0.94815,0.000495041,0.000495041,0.000495041
48,2166.09,1.10486,1.93113,1.01658,0.76266,0.83866,0.89907,0.57229,1.30455,1.34242,1.03576,0.000486042,0.000486042,0.000486042
49,2209.86,1.13608,1.6476,1.01798,0.73729,0.87192,0.89908,0.61788,1.14345,1.32151,0.99285,0.000477043,0.000477043,0.000477043
50,2253.56,1.1187,1.55321,1.03375,0.72584,0.88869,0.90785,0.63832,1.05081,1.24538,0.96219,0.000468044,0.000468044,0.000468044
51,2295.74,1.07175,1.54543,1.01016,0.81286,0.86611,0.93415,0.63808,1.09806,1.20755,0.96607,0.000459045,0.000459045,0.000459045
52,2338.21,1.15453,2.0623,1.05945,0.78396,0.8663,0.93656,0.66448,1.06133,1.2418,0.95285,0.000450046,0.000450046,0.000450046
53,2380.68,1.00424,1.29392,1.00793,0.86465,0.82561,0.93687,0.64414,1.11136,1.19597,0.96506,0.000441047,0.000441047,0.000441047
54,2425.41,1.0253,1.87991,1.0505,0.85785,0.81807,0.9292,0.59825,1.21947,1.27808,0.99569,0.000432048,0.000432048,0.000432048
55,2467.57,1.0991,1.36278,1.02136,0.80134,0.87786,0.93084,0.62773,1.11441,1.24451,0.97249,0.000423049,0.000423049,0.000423049
56,2510.46,0.87933,2.95797,0.87351,0.84078,0.89615,0.94738,0.68772,0.98185,1.14045,0.93917,0.000414049,0.000414049,0.000414049
57,2552.42,1.06164,1.32392,1.02948,0.82531,0.93908,0.96079,0.67741,1.03871,1.12314,0.95161,0.00040505,0.00040505,0.00040505
58,2594.3,1.08919,1.66454,1.06088,0.84435,0.94678,0.95531,0.65423,1.10237,1.15491,0.9629,0.000396051,0.000396051,0.000396051
59,2637.94,1.12524,1.47565,1.05061,0.84946,0.92428,0.957,0.66566,1.0768,1.14646,0.95779,0.000387052,0.000387052,0.000387052
60,2699.14,1.06905,1.49338,1.05351,0.82353,0.89231,0.96251,0.69881,0.98205,1.12113,0.93676,0.000378053,0.000378053,0.000378053
61,2750.55,1.01446,1.32593,0.96072,0.82901,0.92271,0.96159,0.66958,1.08008,1.12882,0.96697,0.000369054,0.000369054,0.000369054
62,2793.74,0.99689,1.49545,1.00385,0.87018,0.89242,0.96485,0.66674,1.1088,1.10773,0.97726,0.000360055,0.000360055,0.000360055
63,2836.64,1.02502,1.25453,0.99903,0.88556,0.86759,0.96764,0.71904,0.95836,1.05155,0.93565,0.000351056,0.000351056,0.000351056
64,2880.44,0.97563,1.19065,1.00039,0.87027,0.92465,0.96724,0.707,0.99648,1.05646,0.94245,0.000342057,0.000342057,0.000342057
65,2924.5,1.00796,1.23082,1.01244,0.87295,0.93053,0.96632,0.66898,1.13272,1.11974,0.97618,0.000333058,0.000333058,0.000333058
66,2975.49,1.06037,1.38964,1.02524,0.88821,0.91959,0.97318,0.6709,1.12228,1.10668,0.97333,0.000324058,0.000324058,0.000324058
67,3020.96,1.06299,1.55869,0.97744,0.88328,0.90471,0.97191,0.7053,0.99261,1.045,0.93973,0.000315059,0.000315059,0.000315059
68,3085.89,1.00614,1.28844,1.00533,0.90968,0.87553,0.96612,0.70684,0.99732,1.02078,0.93664,0.00030606,0.00030606,0.00030606
69,3179.85,0.96165,1.2971,0.97909,0.89337,0.88207,0.95975,0.65424,1.15236,1.1201,0.97114,0.000297061,0.000297061,0.000297061
70,3234.46,1.06488,1.28959,1.00169,0.90166,0.86725,0.95326,0.65664,1.15603,1.14714,0.96972,0.000288062,0.000288062,0.000288062
71,3298.22,1.03317,1.32492,1.0011,0.8984,0.86786,0.96017,0.68,1.03075,1.06058,0.94021,0.000279063,0.000279063,0.000279063
72,3345.54,1.03397,1.62583,1.04714,0.81307,0.95082,0.96487,0.70096,0.98088,1.0367,0.934,0.000270064,0.000270064,0.000270064
73,3402.74,0.96788,1.08619,0.99335,0.81724,0.9306,0.96629,0.68471,1.06038,1.04488,0.95444,0.000261065,0.000261065,0.000261065
